start	end	text
0	1200	安室錄音
1200	3680	躺上來埋眼了
3680	5680	哎呀他上班的上夜班的
5680	6200	嗯
6840	8040	可能是這樣說
8040	9800	這兩艘喇叭機的也關了
9800	12040	嗯嗯就這樣出來找
12240	12640	嗯
15140	16540	有的時候我趕快寫好
16540	19200	昨天晚上啊都有一個有兩紅娘女
19280	21080	嗯我機的都關了
21080	23280	他他剛上給微信收給錢了
23340	25500	我都趕快拿個牙刷寫好
25500	27080	兩艘紅娘女沒收
27760	29280	我一般是收集那個
29480	31520	對不對那個木蘭一線顛粉
31760	33160	我看看你那個
58080	60080	你從屋裡沒吃飯嗎
60080	61080	沒有了
61080	63080	嗯也沒看見
63080	64080	我昨天那個
64080	68080	對我昨天把那個酒那個線那個
68080	70080	那個買了補線
70080	72080	嗯我說
72080	75080	只要有樓的媽來我都知道
76080	77080	我剛才打給你
77080	79080	你可能沒看見吧
79080	81080	對呀我剛開車了
81080	82080	嗯對
84080	86080	中途就用了個椅子
86080	87080	嗯
88080	91080	二號那個不想收
91080	93080	要的不收
93080	96080	嗯那那日本都叫保護
96080	97080	那另一個
97080	98080	保護保護的
100080	102080	那天起的那十五個
102080	103080	就是現在
103080	104080	十五個
104080	105080	十六個
105080	106080	六十六個
106080	107080	五十六個
107080	108080	五十六個
108080	109080	嗯
109080	110080	五十六個
110080	112080	這一個這一個是存貨的
112080	114080	一個這個是存貨的
114080	116080	我剛才隔著我看不見
116080	117080	我就這個多
117080	118080	你那個全有
118080	119080	哦
119080	120080	我擺那一樣的
120080	123080	其他的都沒有存貨
129080	131080	小豬這個是三盒
133080	134080	哦三個
134080	135080	這我有一盒
135080	137080	嗯那那那
137080	139080	這我還有一盒
139080	140080	三盒
140080	141080	我就是
141080	142080	嗯
145080	147080	這個四個那個
148080	149080	哦對對
149080	150080	那個四個我們在這放
150080	151080	那四個呀
151080	152080	四個阿姨壓來
152080	153080	不能放
157080	159080	四個日本的
161080	162080	大
162080	163080	小豬就那邊七盒
163080	165080	這我放一盒
166080	167080	細緻背景
167080	169080	細緻背景都在那塊
175080	176080	這兩塊地方有沒有
176080	178080	這兩塊
178080	180080	以前我就納入燃燒
180080	181080	對
182080	183080	我就是看著手機
183080	184080	這有五十種
184080	186080	我都對著一點
193080	194080	螺絲都在那
195080	196080	現在沒有
196080	197080	現在沒有
197080	199080	是來鵬河的時候一個
199080	200080	我吃了
202080	203080	你要是那個
204080	206080	哪有一個燒烤攤子
206080	207080	或者是飯店
207080	209080	那個顏色的熟了
209080	211080	我最愛日本的有貨了
211080	213080	我得吃它
213080	214080	還有我最愛
215080	217080	我們那家用石榴的
217080	218080	對
218080	219080	那些紅顏色的
219080	221080	都是拿石榴來的
221080	222080	我不出去
222080	223080	那不用吃
223080	224080	光吃
224080	225080	對對
225080	226080	石山超商
226080	227080	石山銀行的
227080	228080	我來石榴
228080	229080	我都慢慢地換下來
229080	230080	把這整眼
230080	231080	我都不懂得
231080	232080	我怎麼偷了
232080	233080	對對
234080	235080	我看有一個
235080	236080	在大媽掌那
236080	237080	有一個
237080	238080	給你包餡料
238080	239080	那個老豆
239080	241080	他不買一個十塊錢
241080	243080	火烤還是羊肉
243080	244080	十塊錢
244080	245080	那合理
245080	247080	他屬於一袋子
249080	250080	他前面擺了
250080	251080	也是一袋四個
251080	252080	一袋四個
252080	253080	一共四袋
253080	254080	一袋八個
254080	256080	一本子是夠了
257080	258080	還不錯
259080	260080	今天能睡
260080	261080	我這也
261080	262080	我不能工作
262080	265080	我說你把石山眼一吃
265080	267080	眼膜一吃
267080	269080	你這也得苦一朵半
269080	270080	苦一朵半
270080	271080	所以
272080	274080	我得先找整眼幹活
276080	277080	整眼
277080	279080	人家隔壁一看眼
280080	281080	有啥眼
281080	282080	咱後邊正好有啥眼
282080	283080	對
286080	288080	這回進他們外地的話
288080	289080	他們說
289080	290080	你沒攔截
291080	292080	我不會
292080	293080	咋的攔截
293080	295080	我還都攔截了
295080	296080	沒有打過來
296080	298080	這些騷擾電話
299080	300080	你打開設置
300080	302080	設置你騷擾
302080	303080	你騷擾電話
303080	304080	你可以
304080	305080	發那樣的攔截
305080	306080	我看見了
315080	317080	剛才買了一份
317080	318080	這一份
329080	330080	哪一碗
330080	331080	金色
331080	332080	那個熟的
332080	333080	金色
333080	334080	熟的
335080	337080	哪一碗飯
337080	338080	這碗牛肉
338080	339080	牛肉
339080	340080	牛肉
345080	347080	就是我看他那個下的通知
347080	348080	是
348080	350080	20號之前
350080	352080	就說對外檢查的結果
352080	353080	對外還說
353080	354080	他也就是說
354080	356080	如果是賣的話
356080	357080	就是20號之前
357080	358080	就賣了
358080	360080	如果20號以後再賣
361080	362080	可能性不大
362080	363080	可能性不大
363080	365080	因為20號就上報檢查的結果
365080	366080	那是
366080	368080	我得天天注意著的
368080	370080	是我最多的
376080	378080	年齡來說都
378080	379080	這麼大
379080	380080	對
380080	381080	這弄得這麼大
381080	383080	我最多的也要
389080	390080	現在沒賣
390080	391080	沒有
391080	392080	銷售都不賣了
397080	398080	所以這個算是
398080	399080	抓住了
399080	400080	值得賣
404080	405080	賣給你吃
413080	415080	我得喝點啥酒
415080	416080	我得送給你
416080	417080	我得給你打電話
417080	418080	對
422080	423080	幾個那個
423080	424080	十個
424080	425080	對
425080	426080	十
426080	427080	這裡面還有五盒
427080	428080	來
428080	429080	來
429080	430080	這四盒
430080	431080	我又一盒
443080	445080	我剛才差了一點酒
445080	447080	酒這個量
447080	448080	差不多兩盒
452080	453080	你又一盒
453080	454080	三四盒
454080	455080	嗯
455080	456080	酒果仁
456080	457080	喝的酒果仁
457080	458080	四個酒果仁
458080	459080	喝醉了
460080	461080	有的就是
461080	462080	我沒喝
462080	463080	整個來吃一點
463080	464080	就剩一個了
464080	465080	重複的
474080	475080	剩一個
475080	476080	剩一個
476080	477080	下面還有一個吧
477080	478080	六個
478080	479080	對
479080	480080	六個
480080	481080	對
503080	504080	下面有一個
509080	510080	第二盒
510080	511080	第二盒
525080	526080	老一輩
526080	527080	老一輩
527080	528080	老一輩隨便你
528080	529080	好
529080	530080	說服事的
530080	531080	對
536080	537080	這啤酒呢
537080	538080	酒酒
538080	539080	酒
539080	540080	十六個
540080	541080	對
541080	542080	十六個
542080	543080	酒
543080	544080	兩盒
544080	545080	哪邊有一個
545080	546080	這邊還有一個
546080	547080	再整盒來
547080	548080	一碗泡沫
548080	549080	泡沫
549080	550080	有這個小手朵
550080	551080	嗯
551080	552080	嗯
552080	553080	這裡有一個
569080	570080	這是一盒
570080	571080	這個我弄不懂
571080	572080	這是一盒
574080	575080	這是六盒
